DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;;;;;;;;;;;;;;;;;;;;;;;
Bodovka - Krivosúd;Bodovka - Krivosúd;Trenèín;913 11;Trenèianske Stankovce;Trenè.Stankovce;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Bodrual;Bodrual;Svidník;090 05;Krajná Po¾ana;Krajná Po¾ana;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Bodza;Bodza;Komárno;946 16;Bodza;Bodza;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Bodzianske Lúky;Bodzianske Lúky;Komárno;946 14;Zemianska Olèa;Zemianska Olèa;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Bogliarka;Bogliarka;Bardejov;086 04;Krulov;Krulov;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Bohdanovce;Bohdanovce;Košice - okolie;044 16;Bohdanovce pri Košiciach;Bohdanovce pri Koš.;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Bohdanovce nad Trnavou;Bohdanovce n/Trnavou;Trnava;919 09;Bohdanovce nad Trnavou;Bohdanovce nad Trn.;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Bohe¾ov;Bohe¾ov;Dunajská Streda;929 01;Dunajská Streda 1;Dunajská Streda 1;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Bohunice;Bohunice;Ilava;018 52;Pruské;Pruské;302;TC;;;;;;;;;;;;;;;;;;;;;;;
Bohunice;Bohunice;Levice;935 05;Pukanec;Pukanec;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Bohúòovo;Bohúòovo;Roòava;049 12;Gemerská Hôrka;Gemerská Hôrka;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Bojná;Bojná;Topo¾èany;956 01;Bojná;Bojná;406;NI;;;;;;;;;;;;;;;;;;;;;;;
